PARROQUIA,MUNICIPIO,ESTADO
Domitila Flores,San Francisco,Zulia
Unin,Bentez,Sucre
San Francisco,San Francisco,Zulia
Santa Rita,Santa Rita,Zulia
Carayaca,Vargas,Vargas
Urama,Juan Jos Mora,Carabobo
Morn,Juan Jos Mora,Carabobo
Sucre,Libertador,Distrito Capital
Montes de Oca,Torres,Lara
Guatire,Zamora,Miranda
Curiepe,Brin,Miranda
La Pastora,Libertador,Distrito Capital
Altagracia,Libertador,Distrito Capital
San Bernardino,Libertador,Distrito Capital
El Recreo,Libertador,Distrito Capital
Chacao,Chacao,Miranda
Leoncio Martnez,Sucre,Miranda
Caucagita,Sucre,Miranda
Guarenas,Plaza,Miranda
Los Cortijos,San Francisco,Zulia
Simn Bolvar,Zamora,Miranda
Petare,Sucre,Miranda
El Bajo,San Francisco,Zulia
Tovar,Tovar,Aragua
Rendn,Ribero,Sucre
Chuao,Santiago Mario,Aragua
El Junquito,Libertador,Distrito Capital
Capaya,Acevedo,Miranda
El Guayabo,Veroes,Yaracuy
San Jos,Libertador,Distrito Capital
Andrs Bello,La Caada de Urdaneta,Zulia
Aguedo Felipe Alvarado,Iribarren,Lara
Chiquinquir,La Caada de Urdaneta,Zulia
Choron,Girardot,Aragua
Meja,Meja,Sucre
Candelaria,Libertador,Distrito Capital
23 de Enero,Libertador,Distrito Capital
Valentn Valiente,Sucre,Sucre
Santa Ins,Sucre,Sucre
El Mene,Santa Rita,Zulia
Catedral,Libertador,Distrito Capital
El Junko,Vargas,Vargas
Altagracia,Sucre,Sucre
San Juan,Libertador,Distrito Capital
Ocumare de La Costa,Mario Briceo Iragorry,Aragua
Santa Teresa,Libertador,Distrito Capital
Ayacucho,Sucre,Sucre
Santa Rosala,Libertador,Distrito Capital
San Agustn,Libertador,Distrito Capital
El Paraso,Libertador,Distrito Capital
San Pedro,Libertador,Distrito Capital
La Dolorita,Sucre,Miranda
Juan Jos Flores,Puerto Cabello,Carabobo
Baruta,Baruta,Miranda
Antmano,Libertador,Distrito Capital
Reyes Varvas,Torres,Lara
Bolvar,Bolvar,Sucre
Fraternidad,Puerto Cabello,Carabobo
El Cafetal,Baruta,Miranda
Borburata,Puerto Cabello,Carabobo
Catuaro,Ribero,Sucre
Las Minas de Baruta,Baruta,Miranda
Arstides Calvani,Cabimas,Zulia
La Vega,Libertador,Distrito Capital
Unin,Puerto Cabello,Carabobo
El Caf,Acevedo,Miranda
Patanemo,Puerto Cabello,Carabobo
Freitez,Crespo,Lara
Jos Mara Blanco,Crespo,Lara
El Valle,Libertador,Distrito Capital
Ral Cuenca,Valmore Rodrguez,Zulia
Trinidad Samuel,Torres,Lara
San Benito,Cabimas,Zulia
El Blanco,Torres,Lara
Goaigoaza,Puerto Cabello,Carabobo
Eleazar Lpez Contreras,Lagunillas,Zulia
Bartolom Salom,Puerto Cabello,Carabobo
El Hatillo,El Hatillo,Miranda
Macarao,Libertador,Distrito Capital
Filas de Mariches,Sucre,Miranda
Coche,Libertador,Distrito Capital
Germn Ros Linares,Cabimas,Zulia
Concepcin,La Caada de Urdaneta,Zulia
Cariaco,Libertador,Distrito Capital
Chiquinquir,Torres,Lara
Santa Cruz,Ribero,Sucre
Tacarigua,Brin,Miranda
Ambrosio,Cabimas,Zulia
El Jarillo,Guaicaipuro,Miranda
Democracia,Puerto Cabello,Carabobo
San Juan,Sucre,Sucre
San Antonio de los Altos,Los Salias,Miranda
Caucagua,Acevedo,Miranda
Rmulo Gallegos,Andrs Eloy BLanco,Sucre
Rmulo Betancourt,Cabimas,Zulia
Santa Luca,Paz Castillo,Miranda
Canoabo,Bejuma,Carabobo
Tamaca,Iribarren,Lara
Mamporal,Buroz,Miranda
San Pedro,Guaicaipuro,Miranda
El Carmelo,La Caada de Urdaneta,Zulia
Carmen Herrera,Cabimas,Zulia
San Fernando,Montes,Sucre
Jorge Hernndez,Cabimas,Zulia
Paparo,Pez,Miranda
San Felipe,San Felipe,Yaracuy
La Rosa,Cabimas,Zulia
Cocorote,Cocorote,Yaracuy
Independencia,Independencia,Yaracuy
San Jos de Barlovento,Andrs Bello,Miranda
Los Teques,Guaicaipuro,Miranda
San Javier,San Felipe,Yaracuy
Altagracia,Torres,Lara
Carrizal,Carrizal,Miranda
Cecilio Acosta,Guaicaipuro,Miranda
Rafael Urdaneta,Simn Bolvar,Zulia
Punta Gorda,Cabimas,Zulia
Arvalo Aponte,Santiago Mario,Aragua
Ro Chico,Pez,Miranda
Libertad,Machiques de Perij,Zulia
Santa Mara,Ribero,Sucre
Guacara,Guacara,Carabobo
Las Delicias,Girardot,Aragua
Cumanacoa,Montes,Sucre
Tacarigua de la Laguna,Pez,Miranda
Mario Briceo Iragorry,Mario Briceo Iragorry,Aragua
Temerla,Nirgua,Yaracuy
Potreritos,La Caada de Urdaneta,Zulia
Sucre,Sucre,Yaracuy
San Diego,San Diego,Carabobo
Sabana de Piedra,Caripe,Monagas
Manuel Guanipa Matos,Baralt,Zulia
Jos Rafael Revenga,Jos Rafael Revenga,Aragua
Jos Flix Ribas,Jos Flix Ribas,Aragua
La Guanota,Caripe,Monagas
San Joaqun,San Joaqun,Carabobo
Aricagua,Montes,Sucre
Las Brisas,Cristbal Rojas,Miranda
Camacaro,Torres,Lara
Mariara,Diego Ibarra,Carabobo
Naguanagua,Naguanagua,Carabobo
Aguas Calientes,Diego Ibarra,Carabobo
Los Tacariguas,Girardot,Aragua
Arvelo Gonzlez,Acevedo,Miranda
Arenas,Montes,Sucre
Ral Leoni,Sucre,Sucre
Andrs Eloy BLanco,Girardot,Aragua
Rafael Mara Baralt,Simn Bolvar,Zulia
Castor Nieves Ros,Jos Flix Ribas,Aragua
Urachiche,Urachiche,Yaracuy
Yagua,Guacara,Carabobo
Simn Bolvar,Bejuma,Carabobo
Marizapa,Acevedo,Miranda
Paracotos,Guaicaipuro,Miranda
Montaa Verde,Torres,Lara
Aragita,Acevedo,Miranda
Campo Elas,Bruzual,Yaracuy
Arstides Bastidas,Arstides Bastidas,Yaracuy
Santos Michelena,Santos Michelena,Aragua
Bolvar,Bolvar,Aragua
Teresn,Caripe,Monagas
La Pica,Maturn,Monagas
Manuel Manrique,Simn Bolvar,Zulia
Caa de Azcar,Mario Briceo Iragorry,Aragua
Alfredo Pacheco Miranda,Santiago Mario,Aragua
Guanta,Guanta,Anzotegui
Santa Fe,Sucre,Sucre
San Lorenzo,Montes,Sucre
Cartanal,Independencia,Miranda
Sixto Zambrano,Rosario de Perij,Zulia
La Trinidad,La Trinidad,Yaracuy
Mara de San Jos,Girardot,Aragua
Charallave,Cristbal Rojas,Miranda
Chorrern,Guanta,Anzotegui
Cocollar,Montes,Sucre
Santa Teresa del Tuy,Independencia,Miranda
Bolvar,Bolvar,Monagas
Libertador,Lagunillas,Zulia
Puerto La Cruz,Juan Antonio Sotillo,Anzotegui
Ribas,Acevedo,Miranda
Montalbn,Montalbn,Carabobo
Las Mercedes,Torres,Lara
San Francisco,Acosta,Monagas
Espinoza de los Monteros,Torres,Lara
Alonso de Ojeda,Lagunillas,Zulia
El Cumbo,Andrs Bello,Miranda
San Agustn,Caripe,Monagas
Tocuyito,Libertador,Carabobo
Panaquire,Acevedo,Miranda
San Antonio de Yare,Simn Bolvar,Miranda
Lecheras,Diego Bautista Urbaneja,Anzotegui
Jos Casanova,Girardot,Aragua
San Francisco de Yare,Simn Bolvar,Miranda
Bejuma,Bejuma,Carabobo
Pozuelos,Juan Antonio Sotillo,Anzotegui
Samn de Gere,Santiago Mario,Aragua
Tcata,Guaicaipuro,Miranda
Joaqun Crespo,Girardot,Aragua
Castaeda,Torres,Lara
Campo Lara,Lagunillas,Zulia
El Gucharo,Caripe,Monagas
Bartolom de Las Casas,Machiques de Perij,Zulia
Ca,Urdaneta,Miranda
Pea,Pea,Yaracuy
El Cuj,Iribarren,Lara
Santiago Mario,Santiago Mario,Aragua
San Joaqun,San Joaqun,Carabobo
Cpira,Pedro Gual,Miranda
San Jos,Valencia,Carabobo
El Morro,Diego Bautista Urbaneja,Anzotegui
Caripe,Caripe,Monagas
Nirgua,Nirgua,Yaracuy
Ciudad Alianza,Guacara,Carabobo
Pedro Jos Ovalles,Girardot,Aragua
Las Guacamayas,Jos Flix Ribas,Aragua
Bruzual,Bruzual,Yaracuy
Miranda,Miranda,Carabobo
Salom,Nirgua,Yaracuy
Francisco Linares Alcntara,Francisco Linares Alcntara,Aragua
El Guapo,Pez,Miranda
Zuata,Jos Flix Ribas,Aragua
El Carmen,Simn Bolvar,Anzotegui
Francisco de Miranda,Francisco Linares Alcntara,Aragua
Tiara,Santos Michelena,Aragua
Altagracia de la Montaa,Guaicaipuro,Miranda
Los Guayos,Los Guayos,Carabobo
Jos Feliciano Gonzlez,Francisco Linares Alcntara,Aragua
Sucre,Sucre,Aragua
Palo Negro,Libertador,Aragua
Unin,Iribarren,Lara
San Martn de Porres,Libertador,Aragua
San Cristbal,Simn Bolvar,Anzotegui
Ocumare del Tuy,Lander,Miranda
Santa Brbara,Lander,Miranda
Venezuela,Lagunillas,Zulia
Pao de Zrate,Jos Flix Ribas,Aragua
San Blas,Valencia,Carabobo
Catedral,Valencia,Carabobo
Jos ngel Lamas,Jos ngel Lamas,Aragua
El Socorro,Valencia,Carabobo
Guanaguana,Piar,Monagas
Acosta,Acosta,Monagas
Rafael Urdaneta,Valencia,Carabobo
Gige,Carlos Arvelo,Carabobo
Santa Rosa,Valencia,Carabobo
Candelaria,Valencia,Carabobo
Miguel Pea,Valencia,Carabobo
Gige,Carlos Arvelo,Carabobo
Punceres,Punceres,Monagas
Gige,Carlos Arvelo,Carabobo
Naricual,Simn Bolvar,Anzotegui
Juan de Villegas,Iribarren,Lara
Catedral,Iribarren,Lara
Nueva Ca,Urdaneta,Miranda
Boca de Uchire,San Juan de Capistrano,Anzotegui
Bella Vista,Sucre,Aragua
Magdaleno,Zamora,Aragua
Libertador,Pedro Mara Freites,Anzotegui
Jos Antonio Pez,Jos Antonio Pez,Yaracuy
Piar,Piar,Monagas
Santa Rosa,Iribarren,Lara
Cachipo,Punceres,Monagas
Magdaleno,Zamora,Aragua
Coronel Mariano Peraza,Jimnez,Lara
Boca de Chvez,San Juan de Capistrano,Anzotegui
Magdaleno,Zamora,Aragua
Gige,Carlos Arvelo,Carabobo
Magdaleno,Zamora,Aragua
Tintorero,Jimnez,Lara
Augusto Mijares,Zamora,Aragua
Gige,Carlos Arvelo,Carabobo
Sucre,Fernando de Pealver,Anzotegui
San Francisco de Ass,Zamora,Aragua
Valles del Tucutunemo,Zamora,Aragua
Zamora,Zamora,Aragua
Luis Beltrn Prieto Figueroa,Pedernales,Delta Amacuro
San Andrs,Pea,Yaracuy
Pedernales,Pedernales,Delta Amacuro
Donaldo Garca,Rosario de Perij,Zulia
Bergantn,Simn Bolvar,Anzotegui
Areo,Cedeo,Monagas
Puerto Pritu,Fernando de Pealver,Anzotegui
Santa Ins,Libertad,Anzotegui
Gige,Carlos Arvelo,Carabobo
Tacarigua,Carlos Arvelo,Carabobo
La Democracia,Lander,Miranda
San Flix,Cedeo,Monagas
San Sebastin,San Sebastin,Aragua
Antonio Daz,Torres,Lara
La Victoria,Valmore Rodrguez,Zulia
Aparicio,Piar,Monagas
Sabana de Uchire,Manuel Ezequiel Bruzual,Anzotegui
El Pinto,Piar,Monagas
San Jos de Perij,Machiques de Perij,Zulia
Cabudare,Palavecino,Lara
Tinaquillo,Falcn,Cojedes
Concepcin,Iribarren,Lara
Pritu,Pritu,Anzotegui
San Casimiro,San Casimiro,Aragua
Giripa,San Casimiro,Aragua
El Pilar,Simn Bolvar,Anzotegui
Juan Bautista Rodrguez,Jimnez,Lara
Independencia,Libertador,Carabobo
Clarines,Manuel Ezequiel Bruzual,Anzotegui
Maturn,Maturn,Monagas
Altagracia de Orituco,Jos Tadeo Monagas,Gurico
Agua Viva,Palavecino,Lara
Los Caprichos,Jos Felipe Mrquez Caizales,Trujillo
Jos Gregorio Bastidas,Palavecino,Lara
Manuel Morillo,Torres,Lara
Taguaya,Piar,Monagas
Valle Morn,San Casimiro,Aragua
Rafael Urdaneta,Valmore Rodrguez,Zulia
Beln,Carlos Arvelo,Carabobo
Ollas de Caramacate,San Casimiro,Aragua
Guanape,Manuel Ezequiel Bruzual,Anzotegui
Chaguaramal,Piar,Monagas
Negro Primero,Valencia,Carabobo
Jurez,Iribarren,Lara
Caigua,Simn Bolvar,Anzotegui
Buria,Simn Planas,Lara
Cedeo,Cedeo,Monagas
San Francisco de Macaira,Jos Tadeo Monagas,Gurico
Bolvar,Morn,Lara
San Miguel,Fernando de Pealver,Anzotegui
Lara,Torres,Lara
Santa Brbara,Francisco del Carmen Carvajal,Anzotegui
San Juan de los Morros,Juan Germn Roscio,Gurico
San Rafael de Orituco,Jos Tadeo Monagas,Gurico
Soublette,Jos Tadeo Monagas,Gurico
Carmen de Cura,Camatagua,Aragua
Taguay,Urdaneta,Aragua
La ToscAna,Piar,Monagas
San Jos de Guaribe,San Jos de Guaribe,Gurico
Jos Bernardo Durante,Jimnez,Lara
Juan Milln,Tucupita,Delta Amacuro
Valle de Guanape,Francisco del Carmen Carvajal,Anzotegui
Juan ngel Bravo,San Carlos,Cojedes
San Mateo,Libertad,Anzotegui
Boquern,Maturn,Monagas
Buena Vista,Iribarren,Lara
Pueblo Nuevo,Baralt,Zulia
Sarare,Simn Planas,Lara
Urica,Pedro Mara Freites,Anzotegui
San Lorenzo de Tiznados,Ortz,Gurico
San Miguel,Jimnez,Lara
El Carito,Libertad,Anzotegui
Morn,Morn,Lara
Cuara,Jimnez,Lara
Camatagua,Camatagua,Aragua
El Socorro,Jos Felipe Mrquez Caizales,Trujillo
Macapo,Lima Blanco,Cojedes
Las Cocuizas,Maturn,Monagas
San Timoteo,Baralt,Zulia
Manuel Manrique,San Carlos,Cojedes
Virgen del Valle,Tucupita,Delta Amacuro
Jos Vidal Marcano,Tucupita,Delta Amacuro
Cecilio Zubillaga,Torres,Lara
San Francisco,Pritu,Anzotegui
Viento Fresco,Cedeo,Monagas
Santa Rosa,Pedro Mara Freites,Anzotegui
El Pao,Pao de San Juan Bautista,Cojedes
Diego de Losada,Jimnez,Lara
Paseo Real de Macaira,Jos Tadeo Monagas,Gurico
Jusepn,Maturn,Monagas
Juan de Mata Surez,Anzotegui,Cojedes
San Pablo,Juan Manuel Cajigal,Anzotegui
Cantagallo,Juan Germn Roscio,Gurico
La Aguadita,Lima Blanco,Cojedes
Torres,Torres,Lara
Santa Cruz,Carache,Trujillo
Araure,Araure,Portuguesa
Libertad,Baralt,Zulia
San Carlos de Austria,San Carlos,Cojedes
Parapara,Juan Germn Roscio,Gurico
Panamericana,Carache,Trujillo
Paraso de San Jos,Jimnez,Lara
Cuicas,Carache,Trujillo
Antonio Jos de Sucre,Jos Felipe Mrquez Caizales,Trujillo
Gustavo Vegas Len,Simn Planas,Lara
Po Tamayo,Andrs Eloy BLanco,Lara
San Simn,Maturn,Monagas
Onoto,Juan Manuel Cajigal,Anzotegui
Chejend,Candelaria,Trujillo
Santa Cruz,Maturn,Monagas
San Vicente,Maturn,Monagas
Ezequiel Zamora,Ezequiel Zamora,Monagas
Ro Negro,Machiques de Perij,Zulia
Alto de los Godos,Maturn,Monagas
General en Jefe Jos Laurencio Silva,Tinaco,Cojedes
Lezama,Jos Tadeo Monagas,Gurico
San Rafael de Onoto,San Rafael de Onoto,Portuguesa
Yacamb,Andrs Eloy BLanco,Lara
La Esperanza,Andrs Bello,Trujillo
El Furrial,Maturn,Monagas
General Urdaneta,Baralt,Zulia
Carache,Carache,Trujillo
El Corozo,Maturn,Monagas
Aragua,Aragua,Anzotegui
Humocaro Bajo,Morn,Lara
San Francisco de Tiznados,Ortz,Gurico
Manuel Salvador Ulloa,Candelaria,Trujillo
Marcelino Briceo,Baralt,Zulia
Valerita,Miranda,Trujillo
El Tejero,Ezequiel Zamora,Monagas
Chaguaramas,Chaguaramas,Gurico
Gurico,Morn,Lara
San Francisco de Cara,Urdaneta,Aragua
Las Peitas,Urdaneta,Aragua
Santa Brbara,Santa Brbara,Monagas
San Rafael de Laya,Jos Flix Ribas,Gurico
El Sombrero,Julin Mellado,Gurico
Agua BLanca,Agua BLanca,Portuguesa
Aguas Calientes,Miranda,Trujillo
Santa Isabel,Andrs Bello,Trujillo
Quebrada Honde de Guache,Andrs Eloy BLanco,Lara
Anzotegui,Morn,Lara
San Jos,Candelaria,Trujillo
Humocaro Alto,Morn,Lara
San Jos de Unare,Zaraza,Gurico
Arnoldo Gabaldn,Candelaria,Trujillo
Bolivia,Candelaria,Trujillo
Thermo Morles,San Rafael de Onoto,Portuguesa
Cojedes,Anzotegui,Cojedes
Ortz,Ortz,Gurico
Araguaney,Andrs Bello,Trujillo
Ro Acargua,Araure,Portuguesa
El Jaguito,Andrs Bello,Trujillo
Carrillo,Candelaria,Trujillo
Encontrados,Catatumbo,Zulia
La Paz,Pampn,Trujillo
Valle de la Pascua,Leonardo Infante,Gurico
Flor de Patria,Pampn,Trujillo
La Ceiba,La Ceiba,Trujillo
Santa Fe,San Rafael de Onoto,Portuguesa
Rmulo Gallegos,Rmulo Gallegos,Cojedes
Pampn,Pampn,Trujillo
Manuel Renaud,Antonio Daz,Delta Amacuro
Urdaneta,Urdaneta,Aragua
Tucupido,Jos Flix Ribas,Gurico
Tres de Febrero,La Ceiba,Trujillo
Cegarra,Candelaria,Trujillo
El Paraso,Sucre,Trujillo
Anaco,Anaco,Anzotegui
San Joaqun,Anaco,Anzotegui
La Concepcin,Carache,Trujillo
Hilario Luna y Luna,Morn,Lara
Cantaura,Pedro Mara Freites,Anzotegui
Aguasay,Aguasay,Monagas
Zaraza,Zaraza,Gurico
Pez,Pez,Portuguesa
El Cenizo,Miranda,Trujillo
Pimpinela,Pez,Portuguesa
Monseor Jos Vicente de Unda,Monseor Jos Vicente de Unda,Portuguesa
Jalisco,Motatn,Trujillo
Bari,Jess Mara Semprm,Zulia
Santa Ana,Pampn,Trujillo
La Estancia,Ospino,Portuguesa
Leonardo Ruz Pineda,Tucupita,Delta Amacuro
Libertad de Cojedes,Ricaurte,Cojedes
Payara,Pez,Portuguesa
Pea Blanca,Monseor Jos Vicente de Unda,Portuguesa
Agua Santa,Miranda,Trujillo
Junn,Sucre,Trujillo
San Jos de Tiznados,Ortz,Gurico
Libertad de Orituco,Jos Tadeo Monagas,Gurico
El Progreso,La Ceiba,Trujillo
El Dividive,Miranda,Trujillo
San Rafael,Tucupita,Delta Amacuro
Campo Elas,Juan Vicente Campo Elas,Trujillo
San Miguel,Bocon,Trujillo
Ramn Peraza,Pez,Portuguesa
Aparicin,Ospino,Portuguesa
Santa Apolonia,La Ceiba,Trujillo
Valmore Rodrguez,Sucre,Trujillo
Pampanito,Pampanito,Trujillo
Pampanito II,Pampanito,Trujillo
Santa Ana,Santa Ana,Anzotegui
La Candelaria,Morn,Lara
Burbusay,Bocon,Trujillo
Sabana Grande,Bolvar,Trujillo
Esteller,Esteller,Portuguesa
Sabana de Mendoza,Sucre,Trujillo
Canelones,Turn,Portuguesa
Toms Alfaro Calatrava,Sir Arthur Mc Gregor,Anzotegui
Jos Leonardo Surez,San Rafael de Carvajal,Trujillo
Tabasca,Libertador,Monagas
Las Alhuacas,Libertador,Monagas
Cruz Carrillo,Trujillo,Trujillo
El Bao,Motatn,Trujillo
La Concepcin,Pampanito,Trujillo
Guanare,Guanare,Portuguesa
Cruz Carrillo,Trujillo,Trujillo
San Jos de Saguas,Sucre,Portuguesa
Santa Cruz,Turn,Portuguesa
Granados,Bolvar,Trujillo
Motatn,Motatn,Trujillo
El Amparo,Ricaurte,Cojedes
Cristbal Mendoza,Trujillo,Trujillo
Crdoba,Guanare,Portuguesa
Betijoque,Rafael Rangel,Trujillo
San Jos de la Montaa,Guanare,Portuguesa
La Pueblita,Rafael Rangel,Trujillo
Jos Gregorio Hernndez,Rafael Rangel,Trujillo
Arnoldo Gabaldn,Juan Vicente Campo Elas,Trujillo
Cheregue,Bolvar,Trujillo
